"PRODUCT","SUBPRODUCT","STATE"
"Consumer loan","Vehicle loan","NJ"
"Debt collection","Other (phone, health club, etc.)","MA"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Mortgage","Conventional fixed mortgage","MI"
"Mortgage","Other mortgage","CA"
"Credit card","","CA"
"Credit reporting","","CA"
"Debt collection","Credit card","IA"
"Debt collection","Medical","NJ"
"Debt collection","Medical","OH"
"Money transfers","Domestic (US) money transfer","FL"
"Mortgage","Conventional adjustable mortgage (ARM)","FL"
"Mortgage","Home equity loan or line of credit","NC"
"Mortgage","Reverse mortgage","CA"
"Mortgage","Conventional fixed mortgage","AZ"
"Credit card","","CA"
"Mortgage","Other mortgage","CA"
"Mortgage","Conventional fixed mortgage","NY"
"Debt collection","Other (phone, health club, etc.)","CA"
"Mortgage","Other mortgage","MI"
"Bank account or service","Checking account","GA"
"Debt collection","Other (phone, health club, etc.)","DE"
"Bank account or service","Checking account","PA"
"Debt collection","Credit card","CT"
"Consumer loan","Vehicle loan",""
"Bank account or service","Savings account","OH"
"Mortgage","Conventional fixed mortgage","NC"
"Credit reporting","","PA"
"Mortgage","Other mortgage","CO"
"Credit reporting","","GA"
"Debt collection","","CA"
"Mortgage","Conventional fixed mortgage","TX"
"Debt collection","Medical","TX"
"Credit reporting","","CO"
"Debt collection","Medical","TX"
"Consumer loan","Vehicle loan","OK"
"Mortgage","Other mortgage","CA"
"Credit card","","WI"
"Debt collection","Other (phone, health club, etc.)","NY"
"Debt collection","Auto","NY"
"Mortgage","Conventional fixed mortgage","MI"
"Debt collection","Other (phone, health club, etc.)","NJ"
"Debt collection","Payday loan","IL"
"Mortgage","Conventional fixed mortgage","CA"
"Debt collection","Auto","FL"
"Debt collection","","SC"
"Debt collection","Payday loan","IL"
"Debt collection","","SC"
"Mortgage","FHA mortgage","IL"
"Debt collection","","OR"
"Mortgage","FHA mortgage","AL"
"Debt collection","Credit card","TN"
"Credit reporting","","GA"
"Debt collection","Credit card","CA"
"Debt collection","Other (phone, health club, etc.)","AZ"
"Consumer loan","Installment loan","AL"
"Mortgage","Other mortgage","FL"
"Credit card","","PA"
"Mortgage","Home equity loan or line of credit","CA"
"Bank account or service","Checking account","NY"
"Bank account or service","Checking account","NY"
"Credit card","","MO"
"Bank account or service","Checking account","OR"
"Credit reporting","","IL"
"Mortgage","Conventional fixed mortgage","FL"
"Mortgage","Conventional fixed mortgage","FL"
"Mortgage","Conventional fixed mortgage","GA"
"Credit card","","PA"
"Credit reporting","","TX"
"Credit reporting","","IL"
"Student loan","Non-federal student loan","MA"
"Student loan","Non-federal student loan","AZ"
"Debt collection","Credit card","NC"
"Consumer loan","Installment loan","CA"
"Credit reporting","","MD"
"Mortgage","FHA mortgage","CA"
"Mortgage","Conventional fixed mortgage","SC"
"Bank account or service","Checking account","PA"
"Credit card","","IN"
"Debt collection","Credit card","FL"
"Debt collection","Credit card","FL"
"Debt collection","Credit card","FL"
"Mortgage","Other mortgage","CA"
"Consumer loan","Vehicle loan","NY"
"Payday loan","","OH"
"Credit card","","OH"
"Mortgage","VA mortgage","OH"
"Debt collection","Credit card","FL"
"Debt collection","Credit card","NJ"
"Debt collection","","PA"
"Credit reporting","","OH"
"Mortgage","FHA mortgage","NJ"
"Mortgage","Other mortgage","IL"
"Mortgage","FHA mortgage","NJ"
"Debt collection","Credit card","MO"
"Credit reporting","","TX"
"Debt collection","Credit card","AZ"
"Credit card","","OR"
"Debt collection","Other (phone, health club, etc.)","IL"
"Mortgage","Other mortgage","UT"
"Mortgage","Other mortgage","UT"
"Mortgage","Conventional adjustable mortgage (ARM)","WA"
"Debt collection","","FL"
"Debt collection","Credit card","CA"
"Mortgage","Conventional fixed mortgage","FL"
"Mortgage","Conventional fixed mortgage","IL"
"Debt collection","Other (phone, health club, etc.)","TX"
"Mortgage","Conventional fixed mortgage","CA"
"Mortgage","Conventional fixed mortgage","CA"
"Mortgage","Conventional adjustable mortgage (ARM)","MO"
"Consumer loan","Vehicle loan","NY"
"Mortgage","Other mortgage","UT"
"Mortgage","Conventional fixed mortgage","IA"
"Debt collection","Medical","LA"
"Debt collection","","OK"
"Debt collection","Other (phone, health club, etc.)","VA"
"Mortgage","Other mortgage","CA"
"Credit reporting","","CA"
"Credit card","","AZ"
"Mortgage","FHA mortgage","TX"
"Credit reporting","","AZ"
"Debt collection","","AL"
"Consumer loan","Vehicle loan","GA"
"Debt collection","Credit card","TX"
"Credit reporting","",""
"Mortgage","FHA mortgage","CA"
"Debt collection","Other (phone, health club, etc.)","AL"
"Debt collection","","FL"
"Debt collection","","FL"
"Credit reporting","","FL"
"Consumer loan","Personal line of credit","NY"
"Credit reporting","","FL"
"Credit reporting","","FL"
"Credit reporting","","FL"
"Mortgage","Conventional fixed mortgage","CA"
"Mortgage","Other mortgage","PA"
"Credit card","","MD"
"Debt collection","","CT"
"Credit card","","KY"
"Consumer loan","Vehicle loan","WI"
"Debt collection","","FL"
"Credit reporting","","PA"
"Debt collection","Medical","KS"
"Mortgage","Conventional fixed mortgage","VA"
"Debt collection","Payday loan","VA"
"Bank account or service","Checking account","SC"
"Mortgage","Conventional fixed mortgage","MN"
"Debt collection","Medical","CA"
"Mortgage","Conventional fixed mortgage","CO"
"Credit card","","MD"
"Mortgage","Conventional fixed mortgage","AP"
"Payday loan","","MO"
"Credit reporting","","TX"
"Student loan","Non-federal student loan","PA"
"Credit reporting","","TX"
"Debt collection","Credit card","NY"
"Credit reporting","","OH"
"Debt collection","Payday loan","CA"
"Bank account or service","Checking account","CA"
"Mortgage","Conventional fixed mortgage","CA"
"Bank account or service","Checking account","GA"
"Payday loan","","NE"
"Debt collection","Other (phone, health club, etc.)","TX"
"Mortgage","Conventional fixed mortgage","FL"
"Credit card","","AZ"
"Mortgage","Conventional fixed mortgage","FL"
"Credit card","","FL"
"Credit reporting","","FL"
"Mortgage","VA mortgage","FL"
"Mortgage","Other mortgage","CA"
"Mortgage","Other mortgage","CA"
"Mortgage","Conventional fixed mortgage","TX"
"Mortgage","Conventional fixed mortgage","CA"
"Mortgage","Conventional fixed mortgage","GA"
"Bank account or service","Checking account","CA"
"Credit reporting","","MO"
"Debt collection","","HI"
"Debt collection","Credit card","CA"
"Consumer loan","Vehicle loan","CA"
"Mortgage","Other mortgage","VA"
"Debt collection","Credit card","PA"
"Credit reporting","","MO"
"Credit card","","MA"
"Mortgage","Conventional fixed mortgage","OR"
"Credit reporting","","MO"
"Credit reporting","","MO"
"Debt collection","Credit card","NY"
"Credit reporting","","WI"
"Debt collection","Mortgage","KY"
"Debt collection","Auto","NY"
"Bank account or service","Other bank product/service","GA"
"Mortgage","Reverse mortgage","NY"
"Mortgage","Conventional fixed mortgage","FL"
"Credit reporting","","KY"
"Credit card","","CA"
"Mortgage","Other mortgage","WI"
"Bank account or service","Checking account","ME"
"Mortgage","Conventional fixed mortgage","LA"
"Mortgage","Other mortgage","MD"
"Credit reporting","","NC"
"Credit reporting","","NC"
"Mortgage","FHA mortgage","WA"
"Credit reporting","","TX"
"Mortgage","Conventional fixed mortgage","AL"
"Credit reporting","","GA"
"Mortgage","Other mortgage","FL"
"Mortgage","Other mortgage","CT"
"Bank account or service","Other bank product/service","WI"
"Mortgage","Other mortgage","NY"
"Debt collection","Credit card","WI"
"Credit reporting","","TX"
"Bank account or service","Checking account","MD"
"Debt collection","Federal student loan","CA"
"Mortgage","FHA mortgage","GA"
"Credit card","","NC"
"Credit reporting","","IL"
"Credit reporting","","TN"
"Mortgage","Other mortgage","NC"
"Mortgage","Conventional adjustable mortgage (ARM)","FL"
"Bank account or service","Checking account","MN"
"Bank account or service","Checking account","NV"
"Mortgage","FHA mortgage","GA"
"Credit reporting","","TX"
"Credit reporting","","NC"
"Mortgage","Conventional fixed mortgage","GA"
"Mortgage","Other mortgage","OH"
"Credit reporting","","FL"
"Credit reporting","","CO"
"Credit reporting","","TX"
"Credit reporting","","CO"
"Credit reporting","","CO"
"Credit reporting","","TX"
"Consumer loan","Installment loan","TN"
"Credit reporting","","TX"
"Credit card","","FL"
"Consumer loan","Installment loan","CA"
"Credit reporting","","MD"
"Credit reporting","","NC"
"Credit reporting","","NC"
"Credit reporting","","NC"
"Debt collection","","TX"
"Credit reporting","","NC"
"Consumer loan","Vehicle loan","NC"
"Debt collection","Other (phone, health club, etc.)","IN"
"Mortgage","Conventional fixed mortgage","FL"
"Mortgage","Other mortgage","WI"
"Bank account or service","Checking account","WA"
"Bank account or service","Checking account","DE"
"Credit reporting","","NY"
"Debt collection","","IL"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Mortgage","FHA mortgage","GA"
"Mortgage","Conventional fixed mortgage","CA"
"Credit reporting","","NY"
"Money transfers","International money transfer","NC"
"Mortgage","Other mortgage","CA"
"Credit card","","FL"
"Debt collection","","OH"
"Mortgage","Other mortgage","NV"
"Credit card","","CA"
"Consumer loan","Vehicle loan","SC"
"Mortgage","Other mortgage","CA"
"Debt collection","","SC"
"Debt collection","Credit card","PA"
"Bank account or service","Other bank product/service","CA"
"Bank account or service","Checking account","MD"
"Mortgage","Home equity loan or line of credit","OH"
"Debt collection","Other (phone, health club, etc.)","OH"
"Money transfers","Domestic (US) money transfer","IL"
"Bank account or service","Savings account","KS"
"Debt collection","Medical","PA"
"Debt collection","Credit card","PA"
"Credit card","","NY"
"Debt collection","Other (phone, health club, etc.)","PA"
"Debt collection","Credit card","PA"
"Debt collection","Other (phone, health club, etc.)","PA"
"Mortgage","Conventional fixed mortgage","MD"
"Credit reporting","","TX"
"Debt collection","Credit card","GA"
"Consumer loan","Vehicle lease","NJ"
"Bank account or service","Checking account","OH"
"Debt collection","Credit card","GA"
"Mortgage","FHA mortgage","CA"
"Consumer loan","Installment loan","PA"
"Consumer loan","Installment loan","CA"
"Mortgage","Other mortgage","MO"
"Credit reporting","","TX"
"Payday loan","","PA"
"Bank account or service","Checking account","FL"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Debt collection","Credit card","NJ"
"Credit reporting","","FL"
"Bank account or service","Checking account","FL"
"Credit reporting","","FL"
"Bank account or service","Checking account","FL"
"Mortgage","Other mortgage","NY"
"Debt collection","Medical","MD"
"Debt collection","Payday loan","VA"
"Mortgage","Other mortgage","NY"
"Debt collection","Other (phone, health club, etc.)","AL"
"Bank account or service","Checking account","IL"
"Debt collection","","TX"
"Mortgage","Conventional fixed mortgage","NJ"
"Debt collection","Other (phone, health club, etc.)","IN"
"Bank account or service","Checking account","GA"
"Credit reporting","","FL"
"Student loan","Non-federal student loan","TX"
"Debt collection","Credit card","PA"
"Consumer loan","Vehicle loan","PA"
"Debt collection","Credit card","SC"
"Credit card","","FL"
"Mortgage","Home equity loan or line of credit","NC"
"Payday loan","","NY"
"Mortgage","Other mortgage","FL"
"Debt collection","Payday loan","TX"
"Bank account or service","Checking account","OR"
"Credit reporting","","PA"
"Debt collection","Other (phone, health club, etc.)","GA"
"Money transfers","International money transfer","MA"
"Mortgage","Conventional fixed mortgage","IN"
"Mortgage","Other mortgage","LA"
"Mortgage","Conventional fixed mortgage","MI"
"Credit reporting","","NY"
"Payday loan","","LA"
"Mortgage","Conventional adjustable mortgage (ARM)","TX"
"Credit reporting","","NY"
"Credit reporting","","NY"
"Credit reporting","","PA"
"Student loan","Non-federal student loan","PA"
"Mortgage","Conventional fixed mortgage","IL"
"Payday loan","","MS"
"Credit card","","UT"
"Mortgage","Other mortgage","NJ"
"Debt collection","","FL"
"Money transfers","International money transfer","TX"
"Credit reporting","","PA"
"Bank account or service","Other bank product/service","PA"
"Debt collection","Credit card","RI"
"Debt collection","Credit card","RI"
"Credit reporting","","PA"
"Credit card","","NY"
"Consumer loan","Installment loan","NJ"
"Debt collection","Other (phone, health club, etc.)","TX"
"Mortgage","Other mortgage","CA"
"Credit reporting","","TX"
"Debt collection","Mortgage","PA"
"Bank account or service","Checking account","PA"
"Credit reporting","","CT"
"Consumer loan","Vehicle loan","MI"
"Mortgage","Other mortgage","NY"
"Credit reporting","","MA"
"Bank account or service","Other bank product/service","CA"
"Debt collection","Medical","GA"
"Credit reporting","","NY"
"Mortgage","Other mortgage","MI"
"Consumer loan","Installment loan","VA"
"Credit reporting","","NY"
"Bank account or service","Other bank product/service","FL"
"Credit reporting","","NY"
"Credit reporting","","CT"
"Credit card","","CA"
"Debt collection","Other (phone, health club, etc.)","NY"
"Consumer loan","Installment loan","MI"
"Debt collection","","PA"
"Credit card","","CA"
"Mortgage","Conventional fixed mortgage","MI"
"Bank account or service","Checking account","MA"
"Mortgage","Conventional fixed mortgage","FL"
"Consumer loan","Vehicle loan","CT"
"Credit card","","MI"
"Mortgage","Other mortgage","CA"
"Debt collection","","TX"
"Consumer loan","Vehicle loan","CT"
"Credit card","","CT"
"Credit card","","CT"
"Bank account or service","Checking account","NJ"
"Mortgage","Other mortgage","NY"
"Mortgage","Other mortgage","MI"
"Credit reporting","","PA"
"Credit reporting","","FL"
"Credit reporting","","CT"
"Debt collection","Other (phone, health club, etc.)","UT"
"Credit reporting","","CT"
"Credit reporting","","CT"
"Mortgage","Other mortgage","NJ"
"Mortgage","Other mortgage","NY"
"Mortgage","Home equity loan or line of credit","AZ"
"Mortgage","Other mortgage","CA"
"Mortgage","Other mortgage","CA"
"Bank account or service","Checking account","IL"
"Mortgage","Other mortgage","MO"
"Mortgage","Other mortgage","VA"
"Credit card","","VA"
"Mortgage","Other mortgage","CA"
"Mortgage","Other mortgage","MI"
"Mortgage","Other mortgage","MI"
"Mortgage","Other mortgage","CT"
"Mortgage","Other mortgage","NY"
"Credit card","","WA"
"Debt collection","Other (phone, health club, etc.)","UT"
"Debt collection","","LA"
"Debt collection","Other (phone, health club, etc.)","TX"
"Mortgage","Home equity loan or line of credit","CA"
"Debt collection","Credit card","FL"
"Mortgage","Conventional adjustable mortgage (ARM)","OH"
"Credit reporting","","FL"
"Debt collection","Credit card","FL"
"Debt collection","Credit card","FL"
"Mortgage","Other mortgage","OR"
